source_system,cooperation_code,cooperation_name,project_code,project_name
asset,HZF000036,上海即科智能技术集团有限公司,XXT-PRJ-JK-A,即科医美通汇诚泰保理
asset,HZF000036,上海即科智能技术集团有限公司,XXT-PRJ-JK-C,即科医美通汇诚泰保理（担保公司）
asset,HZF000036,上海即科智能技术集团有限公司,XXT-PRJ-JK-D,即科商品分期通汇诚泰保理
asset,HZF000036,上海即科智能技术集团有限公司,XXT-PRJ-JK-E,即科医美通汇诚泰保理（再保理）
asset,HZF000038,广州市全民钱包科技有限公司,XXT-PRJ-QMQB-A,全民钱包电商购物通汇诚泰保理
asset,HZF000039,深圳市欣缘电子科技有限公司,XXT-PRJ-FD-A,分蛋医美通汇诚泰保理
asset,HZF000118,成都给米金融服务外包有限公司,XXT-PRJ-GM-A,给米医美通汇诚泰保理
asset,HZF000118,成都给米金融服务外包有限公司,XXT-PRJ-GM-B,给米医美通汇诚泰保理（担保公司）
asset,HZF000118,成都给米金融服务外包有限公司,XXT-PRJ-GM-C,给米医美通汇诚泰保理（再保理）
asset,HZF000125,厦门强云网络科技有限公司,XXT-PRJ-QY-A,强云医美项目
asset,HZF000126,深圳洽客科技有限公司,XXT-PRJ-QK-A,洽客电商（商品分期）通汇诚泰保理
asset,HZF000127,北京芝士未来科技有限公司,XXT-PRJ-ZS-A,芝士教育通汇诚泰保理
asset,HZF000128,福建学成创想信息科技有限公司,XXT-PRJ-XC-A,学成教育通汇诚泰保理
asset,HZF000128,福建学成创想信息科技有限公司,XXT-PRJ-XC-B,学成教育部分放款通汇诚泰保理
asset,HZF000128,福建学成创想信息科技有限公司,XXT-PRJ-XC-C,学成教育X+Y通汇诚泰保理
asset,HZF000128,福建学成创想信息科技有限公司,ZBL-PRJ-XC-A,学成教育通汇诚泰保理(再保理)
asset,HZF000128,福建学成创想信息科技有限公司,ZBL-PRJ-XC-B,学成教育部分放款通汇诚泰保理(再保理)
asset,HZF000128,福建学成创想信息科技有限公司,ZBL-PRJ-XC-C,学成教育X+Y通汇诚泰保理(再保理)
asset,HZF000130,厦门益通祥融资担保有限公司,XXT-PRJ-QY-B,强云教育通汇诚泰保理
asset,HZF000133,浙江碟普科技有限公司,XXT-PRJ-DP-A,稻普医美通汇诚泰保理
asset,HZF000135,深圳市鼎丰盛世股权投资资产管理有限公司,XXT-PRJ-FD-B,分蛋教育通汇诚泰保理
asset,HZF000137,广东金豆子数字科技有限公司,XXT-PRJ-JDZ-A,金豆子教育分期通汇诚泰保理
asset,HZF000137,广东金豆子数字科技有限公司,XXT-PRJ-JDZ-B,金豆子教育部分放款通汇诚泰保理
asset,HZF000138,成都市道融世纪信息技术服务有限公司,XXT-PRJ-WKX-A,呜咔熊医美通汇诚泰保理
asset,HZF000138,成都市道融世纪信息技术服务有限公司,XXT-PRJ-WKX-B,呜咔熊医美通汇诚泰保理（担保公司）
asset,HZF000141,厦门沃橙商贸有限公司,TH-PRJ-LYX-A,沃橙商品分期通汇嘉泰保理
asset,HZF000141,厦门沃橙商贸有限公司,XXT-PRJ-LYX-A,鹿优选商品分期通汇诚泰保理
asset,HZF000142,北京自牧云创科技有限公司,TH-PRJ-ZMYC-A,极石商贸商品分期保理项目
